input,output
"[2189.0, 34.0, 82.0, 445.0, 299.0, 2346.0, 19.0, 70.0, 4484.0, 270.0, 690.0, 21.0, 696.0, 191.0, 248.0, 13.0, 402.0, 21.0, 3.0, 278.0, 1.0, 8.0, 243.0, 868.0, 10.0, 0.0, 274.0, 937.0, 0.0, 11.0]",1.0
"[1981.0, 22.0, 74.0, 397.0, 314.0, 2350.0, 30.0, 58.0, 4187.0, 301.0, 652.0, 22.0, 740.0, 133.0, 248.0, 7.0, 303.0, 21.0, 6.0, 294.0, 5.0, 5.0, 282.0, 856.0, 15.0, 0.0, 308.0, 913.0, 0.0, 7.0]",1.0
"[1798.0, 29.0, 52.0, 408.0, 297.0, 2085.0, 38.0, 37.0, 4241.0, 278.0, 619.0, 17.0, 775.0, 117.0, 231.0, 3.0, 359.0, 34.0, 5.0, 255.0, 2.0, 5.0, 218.0, 850.0, 17.0, 0.0, 248.0, 949.0, 0.0, 7.0]",0.0
"[1534.0, 22.0, 59.0, 347.0, 243.0, 1567.0, 26.0, 45.0, 3830.0, 233.0, 500.0, 17.0, 596.0, 73.0, 185.0, 10.0, 496.0, 15.0, 6.0, 294.0, 1.0, 0.0, 260.0, 893.0, 10.0, 0.0, 249.0, 797.0, 0.0, 9.0]",2.0
"[2197.0, 28.0, 85.0, 420.0, 244.0, 1891.0, 23.0, 47.0, 4058.0, 266.0, 575.0, 17.0, 835.0, 70.0, 261.0, 12.0, 776.0, 17.0, 2.0, 439.0, 4.0, 9.0, 267.0, 1067.0, 7.0, 0.0, 282.0, 969.0, 0.0, 7.0]",3.0
"[2223.0, 32.0, 90.0, 459.0, 317.0, 2409.0, 23.0, 36.0, 4604.0, 258.0, 732.0, 32.0, 965.0, 164.0, 245.0, 19.0, 379.0, 32.0, 2.0, 281.0, 5.0, 6.0, 313.0, 1027.0, 21.0, 0.0, 262.0, 1019.0, 0.0, 10.0]",1.0
"[2506.0, 30.0, 81.0, 452.0, 426.0, 2521.0, 27.0, 55.0, 4286.0, 252.0, 665.0, 16.0, 937.0, 159.0, 242.0, 18.0, 304.0, 18.0, 8.0, 232.0, 3.0, 5.0, 304.0, 914.0, 16.0, 0.0, 277.0, 1035.0, 0.0, 4.0]",2.0
"[3065.0, 21.0, 74.0, 432.0, 406.0, 2522.0, 35.0, 38.0, 4344.0, 243.0, 753.0, 21.0, 868.0, 129.0, 273.0, 13.0, 361.0, 19.0, 9.0, 280.0, 1.0, 4.0, 325.0, 929.0, 10.0, 0.0, 259.0, 888.0, 0.0, 14.0]",2.0
"[2492.0, 35.0, 62.0, 435.0, 380.0, 2458.0, 25.0, 39.0, 4217.0, 249.0, 772.0, 10.0, 758.0, 143.0, 230.0, 15.0, 371.0, 18.0, 3.0, 330.0, 3.0, 15.0, 302.0, 901.0, 9.0, 0.0, 270.0, 902.0, 0.0, 11.0]",0.0
"[2213.0, 58.0, 69.0, 381.0, 402.0, 2162.0, 10.0, 40.0, 4256.0, 214.0, 633.0, 24.0, 677.0, 73.0, 244.0, 21.0, 407.0, 25.0, 5.0, 275.0, 1.0, 8.0, 295.0, 900.0, 10.0, 0.0, 275.0, 876.0, 0.0, 11.0]",1.0
"[1816.0, 20.0, 83.0, 421.0, 330.0, 1661.0, 17.0, 60.0, 3786.0, 240.0, 643.0, 15.0, 473.0, 59.0, 261.0, 8.0, 374.0, 18.0, 6.0, 262.0, 4.0, 5.0, 298.0, 766.0, 16.0, 0.0, 269.0, 797.0, 0.0, 6.0]",0.0
"[2239.0, 33.0, 125.0, 414.0, 320.0, 2038.0, 17.0, 35.0, 4030.0, 324.0, 772.0, 29.0, 740.0, 83.0, 302.0, 10.0, 568.0, 19.0, 7.0, 407.0, 2.0, 11.0, 294.0, 2109.0, 24.0, 0.0, 316.0, 997.0, 0.0, 6.0]",2.0
"[2118.0, 30.0, 85.0, 385.0, 338.0, 2528.0, 23.0, 70.0, 4107.0, 435.0, 942.0, 22.0, 758.0, 128.0, 250.0, 16.0, 374.0, 24.0, 4.0, 304.0, 5.0, 20.0, 222.0, 1099.0, 45.0, 0.0, 240.0, 956.0, 0.0, 7.0]",0.0
"[2095.0, 29.0, 84.0, 395.0, 293.0, 2388.0, 19.0, 34.0, 3934.0, 294.0, 736.0, 17.0, 712.0, 138.0, 272.0, 26.0, 437.0, 26.0, 3.0, 394.0, 4.0, 18.0, 238.0, 973.0, 21.0, 0.0, 289.0, 863.0, 0.0, 13.0]",0.0
"[1954.0, 25.0, 84.0, 409.0, 312.0, 2138.0, 15.0, 39.0, 3950.0, 291.0, 715.0, 26.0, 720.0, 121.0, 264.0, 5.0, 393.0, 17.0, 6.0, 319.0, 4.0, 16.0, 251.0, 850.0, 18.0, 0.0, 235.0, 870.0, 0.0, 16.0]",3.0
"[1861.0, 27.0, 87.0, 376.0, 360.0, 2142.0, 20.0, 54.0, 3855.0, 270.0, 731.0, 17.0, 602.0, 116.0, 214.0, 8.0, 412.0, 34.0, 4.0, 354.0, 2.0, 9.0, 271.0, 850.0, 8.0, 0.0, 244.0, 903.0, 0.0, 10.0]",0.0
"[1993.0, 18.0, 108.0, 353.0, 261.0, 2069.0, 13.0, 18.0, 3965.0, 235.0, 674.0, 34.0, 444.0, 100.0, 197.0, 14.0, 502.0, 35.0, 1.0, 307.0, 3.0, 5.0, 240.0, 1002.0, 21.0, 0.0, 262.0, 933.0, 0.0, 8.0]",1.0
"[2257.0, 40.0, 58.0, 365.0, 233.0, 1792.0, 14.0, 33.0, 3756.0, 247.0, 566.0, 14.0, 401.0, 51.0, 239.0, 11.0, 571.0, 24.0, 3.0, 398.0, 5.0, 3.0, 222.0, 730.0, 8.0, 0.0, 206.0, 856.0, 0.0, 11.0]",2.0
"[2182.0, 26.0, 72.0, 467.0, 282.0, 2102.0, 26.0, 64.0, 4153.0, 336.0, 610.0, 21.0, 526.0, 59.0, 258.0, 13.0, 732.0, 20.0, 0.0, 500.0, 2.0, 6.0, 318.0, 1076.0, 11.0, 0.0, 369.0, 955.0, 0.0, 13.0]",3.0
"[270.0, 123.0, 449.0, 1556.0, 373.0, 2683.0, 43.0, 327.0, 86.0, 43.0, 2667.0, 136.0, 247.0, 261.0, 12196.0, 1355.0, 585.0, 6727.0, 175.0, 827.0, 2074.0, 277.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[871.0, 108.0, 488.0, 1981.0, 377.0, 3251.0, 57.0, 312.0, 97.0, 55.0, 2953.0, 146.0, 198.0, 342.0, 13577.0, 2171.0, 592.0, 7015.0, 182.0, 943.0, 2166.0, 410.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[232.0, 96.0, 584.0, 1800.0, 374.0, 2724.0, 63.0, 257.0, 93.0, 47.0, 2706.0, 117.0, 136.0, 264.0, 13162.0, 1609.0, 555.0, 5710.0, 203.0, 1052.0, 2407.0, 410.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[215.0, 133.0, 551.0, 1715.0, 363.0, 2331.0, 57.0, 280.0, 82.0, 55.0, 2580.0, 122.0, 192.0, 366.0, 12655.0, 1478.0, 570.0, 4920.0, 225.0, 959.0, 1893.0, 313.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[198.0, 129.0, 649.0, 1776.0, 475.0, 2758.0, 79.0, 243.0, 87.0, 39.0, 2476.0, 165.0, 168.0, 363.0, 12431.0, 1411.0, 595.0, 4145.0, 232.0, 981.0, 1901.0, 289.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[211.0, 107.0, 867.0, 1481.0, 579.0, 2305.0, 64.0, 258.0, 76.0, 30.0, 2603.0, 129.0, 143.0, 351.0, 11982.0, 1435.0, 511.0, 3415.0, 202.0, 902.0, 1716.0, 306.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[173.0, 111.0, 859.0, 1526.0, 305.0, 3444.0, 61.0, 254.0, 74.0, 30.0, 2455.0, 108.0, 163.0, 289.0, 11913.0, 1345.0, 589.0, 3247.0, 153.0, 819.0, 1710.0, 274.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[232.0, 104.0, 663.0, 1549.0, 286.0, 4453.0, 61.0, 274.0, 115.0, 36.0, 2661.0, 127.0, 205.0, 337.0, 13117.0, 1752.0, 465.0, 3320.0, 172.0, 881.0, 1632.0, 285.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[229.0, 113.0, 600.0, 1689.0, 413.0, 3266.0, 106.0, 423.0, 128.0, 39.0, 2984.0, 116.0, 190.0, 325.0, 14272.0, 1556.0, 974.0, 4155.0, 138.0, 1063.0, 2059.0, 321.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[221.0, 105.0, 582.0, 1727.0, 515.0, 3700.0, 82.0, 429.0, 125.0, 47.0, 2750.0, 89.0, 168.0, 327.0, 13886.0, 1570.0, 699.0, 3410.0, 157.0, 983.0, 1940.0, 341.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[193.0, 99.0, 673.0, 1583.0, 510.0, 2821.0, 57.0, 276.0, 123.0, 45.0, 2727.0, 127.0, 138.0, 320.0, 13346.0, 1566.0, 646.0, 3437.0, 306.0, 940.0, 2101.0, 340.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[253.0, 271.0, 556.0, 1565.0, 373.0, 2402.0, 91.0, 310.0, 138.0, 54.0, 2655.0, 109.0, 144.0, 278.0, 12981.0, 1520.0, 714.0, 3453.0, 161.0, 976.0, 1810.0, 308.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[236.0, 172.0, 471.0, 1679.0, 402.0, 2393.0, 47.0, 318.0, 102.0, 57.0, 2715.0, 129.0, 128.0, 310.0, 12409.0, 1587.0, 647.0, 3260.0, 206.0, 814.0, 1809.0, 313.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[215.0, 121.0, 450.0, 1550.0, 416.0, 2432.0, 48.0, 267.0, 75.0, 36.0, 2478.0, 102.0, 129.0, 214.0, 11881.0, 1456.0, 515.0, 4062.0, 181.0, 754.0, 2085.0, 311.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[209.0, 99.0, 465.0, 1477.0, 352.0, 2426.0, 43.0, 266.0, 74.0, 28.0, 2537.0, 124.0, 134.0, 254.0, 11548.0, 1514.0, 595.0, 3128.0, 137.0, 817.0, 1983.0, 307.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[236.0, 115.0, 442.0, 1832.0, 435.0, 2835.0, 59.0, 266.0, 92.0, 47.0, 2998.0, 138.0, 172.0, 283.0, 13146.0, 1969.0, 671.0, 3412.0, 155.0, 958.0, 2555.0, 403.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[215.0, 108.0, 464.0, 1564.0, 460.0, 2640.0, 77.0, 279.0, 80.0, 37.0, 2978.0, 114.0, 169.0, 442.0, 12778.0, 1628.0, 548.0, 3076.0, 237.0, 903.0, 2105.0, 361.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[295.0, 97.0, 461.0, 1774.0, 360.0, 2497.0, 54.0, 252.0, 80.0, 35.0, 2672.0, 131.0, 138.0, 224.0, 13025.0, 1741.0, 574.0, 2946.0, 167.0, 801.0, 2297.0, 340.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0
"[268.0, 96.0, 488.0, 1676.0, 310.0, 2595.0, 60.0, 259.0, 60.0, 40.0, 2748.0, 152.0, 159.0, 252.0, 13187.0, 1772.0, 523.0, 3047.0, 246.0, 837.0, 1936.0, 338.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[407.0, 104.0, 419.0, 1591.0, 298.0, 2825.0, 49.0, 271.0, 63.0, 43.0, 2586.0, 108.0, 175.0, 249.0, 12971.0, 1806.0, 441.0, 3494.0, 314.0, 840.0, 2110.0, 272.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[328.0, 124.0, 382.0, 1674.0, 318.0, 3004.0, 66.0, 319.0, 50.0, 57.0, 2548.0, 186.0, 123.0, 217.0, 13268.0, 1637.0, 491.0, 3415.0, 223.0, 788.0, 2249.0, 295.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[458.0, 107.0, 360.0, 1737.0, 329.0, 2890.0, 84.0, 308.0, 80.0, 126.0, 2787.0, 209.0, 137.0, 250.0, 12764.0, 1832.0, 686.0, 3549.0, 252.0, 1133.0, 2192.0, 385.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[502.0, 92.0, 422.0, 2050.0, 384.0, 3750.0, 84.0, 224.0, 70.0, 78.0, 3359.0, 179.0, 151.0, 227.0, 14520.0, 2368.0, 985.0, 4275.0, 256.0, 1233.0, 5215.0, 360.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[1002.0, 119.0, 539.0, 1938.0, 1026.0, 3034.0, 70.0, 259.0, 123.0, 54.0, 3067.0, 156.0, 143.0, 306.0, 14315.0, 1626.0, 842.0, 3709.0, 345.0, 1044.0, 4002.0, 311.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[533.0, 133.0, 525.0, 1719.0, 419.0, 2637.0, 83.0, 261.0, 110.0, 65.0, 2882.0, 187.0, 125.0, 296.0, 13450.0, 1903.0, 772.0, 3351.0, 249.0, 998.0, 2296.0, 312.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[461.0, 176.0, 470.0, 1684.0, 433.0, 2836.0, 70.0, 254.0, 90.0, 33.0, 2859.0, 158.0, 109.0, 274.0, 12928.0, 1715.0, 682.0, 3077.0, 310.0, 897.0, 2055.0, 317.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[365.0, 167.0, 576.0, 1741.0, 650.0, 2918.0, 48.0, 294.0, 75.0, 47.0, 2665.0, 180.0, 93.0, 236.0, 13289.0, 1898.0, 783.0, 3136.0, 258.0, 838.0, 1974.0, 317.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[321.0, 139.0, 437.0, 1656.0, 446.0, 2754.0, 61.0, 277.0, 58.0, 50.0, 2637.0, 129.0, 122.0, 251.0, 12895.0, 2095.0, 528.0, 2845.0, 253.0, 968.0, 1731.0, 322.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[589.0, 156.0, 545.0, 1717.0, 266.0, 2665.0, 51.0, 216.0, 60.0, 38.0, 2780.0, 132.0, 172.0, 266.0, 12962.0, 1813.0, 577.0, 3180.0, 267.0, 976.0, 1677.0, 363.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[845.0, 191.0, 508.0, 1921.0, 289.0, 3182.0, 65.0, 201.0, 66.0, 122.0, 3002.0, 160.0, 157.0, 282.0, 15257.0, 1900.0, 570.0, 3448.0, 419.0, 1059.0, 1983.0, 393.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[393.0, 102.0, 428.0, 2134.0, 385.0, 3115.0, 62.0, 281.0, 63.0, 72.0, 2686.0, 127.0, 121.0, 281.0, 13544.0, 1655.0, 578.0, 3085.0, 257.0, 915.0, 1817.0, 341.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[434.0, 117.0, 446.0, 1772.0, 399.0, 3299.0, 179.0, 273.0, 88.0, 44.0, 3175.0, 168.0, 147.0, 264.0, 14120.0, 1673.0, 626.0, 3067.0, 259.0, 1113.0, 1716.0, 373.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[734.0, 126.0, 368.0, 1647.0, 341.0, 2997.0, 78.0, 267.0, 68.0, 49.0, 2977.0, 356.0, 141.0, 269.0, 13261.0, 1585.0, 662.0, 2935.0, 258.0, 985.0, 1760.0, 303.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[629.0, 139.0, 414.0, 1576.0, 281.0, 2727.0, 115.0, 232.0, 76.0, 39.0, 2806.0, 156.0, 127.0, 361.0, 14014.0, 2263.0, 647.0, 2838.0, 470.0, 943.0, 1770.0, 334.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[304.0, 113.0, 417.0, 1825.0, 503.0, 2850.0, 92.0, 426.0, 282.0, 55.0, 2700.0, 110.0, 128.0, 273.0, 12958.0, 1848.0, 645.0, 2914.0, 238.0, 899.0, 1710.0, 346.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[445.0, 109.0, 461.0, 1710.0, 709.0, 2794.0, 112.0, 423.0, 368.0, 68.0, 2648.0, 131.0, 146.0, 281.0, 12846.0, 2292.0, 1074.0, 2887.0, 223.0, 887.0, 1684.0, 491.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[1511.0, 154.0, 469.0, 2077.0, 760.0, 3405.0, 83.0, 422.0, 193.0, 82.0, 3250.0, 144.0, 145.0, 270.0, 15953.0, 2831.0, 687.0, 3308.0, 261.0, 1087.0, 2066.0, 627.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[650.0, 124.0, 372.0, 1751.0, 885.0, 2921.0, 78.0, 778.0, 148.0, 48.0, 2854.0, 139.0, 136.0, 284.0, 15041.0, 2576.0, 592.0, 3159.0, 250.0, 1387.0, 1831.0, 589.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[515.0, 160.0, 533.0, 1813.0, 977.0, 2880.0, 63.0, 882.0, 201.0, 38.0, 2791.0, 153.0, 132.0, 307.0, 13478.0, 2227.0, 608.0, 3217.0, 273.0, 1128.0, 2007.0, 467.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[361.0, 146.0, 456.0, 2053.0, 609.0, 2711.0, 115.0, 973.0, 335.0, 47.0, 2671.0, 333.0, 141.0, 262.0, 13432.0, 1893.0, 601.0, 3102.0, 222.0, 1502.0, 1914.0, 420.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0
"[338.0, 147.0, 578.0, 1775.0, 1666.0, 2595.0, 96.0, 631.0, 384.0, 47.0, 2543.0, 174.0, 141.0, 234.0, 12590.0, 1695.0, 616.0, 2890.0, 227.0, 953.0, 1767.0, 337.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0
"[423.0, 120.0, 531.0, 1886.0, 3634.0, 2775.0, 140.0, 471.0, 412.0, 59.0, 2473.0, 138.0, 148.0, 230.0, 12668.0, 1589.0, 624.0, 2920.0, 231.0, 1016.0, 1924.0, 326.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[579.0, 138.0, 801.0, 1774.0, 6958.0, 2806.0, 153.0, 577.0, 548.0, 53.0, 2554.0, 227.0, 136.0, 299.0, 13024.0, 1731.0, 780.0, 3197.0, 292.0, 1597.0, 1849.0, 311.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[304.0, 112.0, 768.0, 4828.0, 3266.0, 2981.0, 113.0, 476.0, 391.0, 69.0, 2742.0, 198.0, 156.0, 249.0, 13889.0, 1911.0, 1097.0, 2955.0, 388.0, 1403.0, 1871.0, 346.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[375.0, 110.0, 723.0, 2042.0, 1390.0, 2771.0, 83.0, 723.0, 249.0, 66.0, 2954.0, 165.0, 156.0, 245.0, 13577.0, 1621.0, 1013.0, 3139.0, 355.0, 1117.0, 1910.0, 341.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[516.0, 171.0, 645.0, 2098.0, 689.0, 2824.0, 85.0, 569.0, 200.0, 59.0, 2713.0, 269.0, 222.0, 244.0, 13973.0, 1722.0, 742.0, 3294.0, 287.0, 1109.0, 2100.0, 358.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[665.0, 155.0, 737.0, 1780.0, 596.0, 2655.0, 81.0, 754.0, 254.0, 93.0, 2761.0, 209.0, 636.0, 249.0, 13371.0, 1668.0, 760.0, 2863.0, 339.0, 1536.0, 1974.0, 327.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[946.0, 168.0, 684.0, 1817.0, 439.0, 2756.0, 73.0, 783.0, 159.0, 38.0, 2713.0, 144.0, 397.0, 247.0, 13697.0, 1621.0, 605.0, 2894.0, 337.0, 1167.0, 2173.0, 350.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[910.0, 150.0, 624.0, 1707.0, 1452.0, 2737.0, 83.0, 728.0, 168.0, 48.0, 2294.0, 170.0, 387.0, 248.0, 12727.0, 1557.0, 2158.0, 2864.0, 282.0, 1092.0, 1758.0, 282.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[494.0, 149.0, 678.0, 1538.0, 1365.0, 2869.0, 55.0, 813.0, 172.0, 74.0, 2374.0, 109.0, 800.0, 172.0, 12398.0, 1614.0, 2186.0, 2969.0, 350.0, 1120.0, 1815.0, 297.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[746.0, 123.0, 736.0, 1942.0, 648.0, 3587.0, 64.0, 691.0, 132.0, 180.0, 2711.0, 125.0, 579.0, 283.0, 14236.0, 1698.0, 839.0, 3323.0, 667.0, 1850.0, 3182.0, 373.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[444.0, 120.0, 602.0, 1923.0, 502.0, 3169.0, 85.0, 494.0, 127.0, 122.0, 2703.0, 115.0, 467.0, 228.0, 14803.0, 1539.0, 823.0, 3237.0, 352.0, 1230.0, 2587.0, 332.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0
"[366.0, 154.0, 564.0, 2008.0, 421.0, 2979.0, 71.0, 479.0, 125.0, 76.0, 2830.0, 114.0, 644.0, 263.0, 14356.0, 1695.0, 1621.0, 3166.0, 329.0, 1212.0, 2093.0, 389.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.0
"[273.0, 142.0, 587.0, 1848.0, 355.0, 2658.0, 63.0, 408.0, 92.0, 81.0, 2720.0, 93.0, 755.0, 173.0, 14975.0, 1663.0, 879.0, 2916.0, 240.0, 1048.0, 2145.0, 372.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[283.0, 189.0, 571.0, 1788.0, 287.0, 2855.0, 152.0, 441.0, 136.0, 85.0, 2604.0, 117.0, 499.0, 221.0, 14252.0, 1611.0, 752.0, 3048.0, 272.0, 918.0, 2042.0, 310.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[260.0, 149.0, 678.0, 1735.0, 284.0, 2764.0, 126.0, 321.0, 219.0, 93.0, 2553.0, 122.0, 397.0, 190.0, 14820.0, 1808.0, 677.0, 3107.0, 287.0, 944.0, 2098.0, 347.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[241.0, 143.0, 582.0, 1657.0, 440.0, 2492.0, 68.0, 474.0, 190.0, 80.0, 2478.0, 119.0, 306.0, 217.0, 13464.0, 1662.0, 1859.0, 2960.0, 437.0, 988.0, 2046.0, 305.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[365.0, 154.0, 472.0, 2336.0, 645.0, 3951.0, 102.0, 511.0, 163.0, 74.0, 2902.0, 122.0, 286.0, 292.0, 15835.0, 1817.0, 868.0, 3638.0, 357.0, 1088.0, 2339.0, 361.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[249.0, 141.0, 484.0, 2130.0, 484.0, 3018.0, 86.0, 663.0, 141.0, 97.0, 2917.0, 127.0, 191.0, 367.0, 14624.0, 1501.0, 686.0, 3451.0, 303.0, 1051.0, 2202.0, 305.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[257.0, 195.0, 546.0, 2152.0, 469.0, 2644.0, 49.0, 564.0, 146.0, 64.0, 2831.0, 128.0, 189.0, 296.0, 13894.0, 1648.0, 706.0, 3140.0, 253.0, 1046.0, 2030.0, 346.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[260.0, 228.0, 513.0, 1968.0, 423.0, 2584.0, 57.0, 511.0, 176.0, 63.0, 2634.0, 141.0, 188.0, 229.0, 14178.0, 1590.0, 710.0, 3198.0, 245.0, 887.0, 2132.0, 331.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0
"[609.0, 1716.0, 870.0, 1852.0, 389.0, 2420.0, 78.0, 656.0, 153.0, 117.0, 2863.0, 210.0, 237.0, 222.0, 13342.0, 1452.0, 754.0, 3124.0, 279.0, 895.0, 2248.0, 303.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0
"[479.0, 862.0, 735.0, 1707.0, 365.0, 2381.0, 78.0, 614.0, 158.0, 176.0, 2594.0, 261.0, 181.0, 178.0, 12335.0, 1543.0, 607.0, 2757.0, 237.0, 900.0, 1779.0, 274.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[366.0, 355.0, 827.0, 1629.0, 392.0, 2302.0, 55.0, 612.0, 134.0, 73.0, 2370.0, 138.0, 164.0, 183.0, 11335.0, 1351.0, 2334.0, 2707.0, 193.0, 788.0, 1673.0, 279.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[308.0, 275.0, 799.0, 2036.0, 377.0, 2561.0, 52.0, 830.0, 122.0, 96.0, 2878.0, 171.0, 160.0, 203.0, 13117.0, 1841.0, 875.0, 3247.0, 194.0, 1028.0, 2243.0, 300.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
"[269.0, 246.0, 709.0, 2053.0, 288.0, 2207.0, 60.0, 525.0, 99.0, 85.0, 2760.0, 145.0, 159.0, 224.0, 13358.0, 1675.0, 802.0, 3235.0, 207.0, 904.0, 2223.0, 280.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0
